MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2021-08-01,8,2021,T,576,952600,20452.204706048,20505.466703952,20402.180710667,20462.614304333,20462.614304333,178290823.809524,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
2021-08-01,8,2021,D,945,1807100,20452.204706048,20505.466703952,20402.180710667,20462.614304333,20462.614304333,178290823.809524,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
2012-02-01,2,2012,A,1020,373300,12550.56499015,12594.13491215,12492.06997075,12552.7450685,12552.7450685,205881265,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-02-01,2,2012,T,424,472800,12550.56499015,12594.13491215,12492.06997075,12552.7450685,12552.7450685,205881265,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2012-02-01,2,2012,D,1101,1042900,12550.56499015,12594.13491215,12492.06997075,12552.7450685,12552.7450685,205881265,1,23339,13813,29630,9542,4251,3762,-2475,-3148,9255
2015-01-01,1,2015,A,809,382800,14467.447544571,14551.771391429,14341.076218333,14460.890625143,14460.890625143,246596604.761905,1,24134,14952,25159,9752,4911,3991,6282,-5589,562
2015-01-01,1,2015,T,323,479600,14467.447544571,14551.771391429,14341.076218333,14460.890625143,14460.890625143,246596604.761905,1,24134,14952,25159,9752,4911,3991,6282,-5589,562
2015-01-01,1,2015,D,781,1010000,14467.447544571,14551.771391429,14341.076218333,14460.890625143,14460.890625143,246596604.761905,1,24134,14952,25159,9752,4911,3991,6282,-5589,562
2018-12-01,12,2018,A,535,664100,14623.136821526,14690.973735632,14486.705335211,14546.799958842,14546.799958842,276276668.421053,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-12-01,12,2018,T,189,809700,14623.136821526,14690.973735632,14486.705335211,14546.799958842,14546.799958842,276276668.421053,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-12-01,12,2018,D,348,1479000,14623.136821526,14690.973735632,14486.705335211,14546.799958842,14546.799958842,276276668.421053,1.75,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2009-10-01,10,2009,A,1607,380975,11324.771344857,11391.499953476,11202.080868619,11291.490467,11291.490467,192470514.285714,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-10-01,10,2009,T,610,468798,11324.771344857,11391.499953476,11202.080868619,11291.490467,11291.490467,192470514.285714,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-10-01,10,2009,D,1487,749808,11324.771344857,11391.499953476,11202.080868619,11291.490467,11291.490467,192470514.285714,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2018-03-01,3,2018,A,1349,693500,15500.728562095,15561.990513429,15431.852353095,15490.395182286,15490.395182286,205932438.095238,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-03-01,3,2018,T,446,835300,15500.728562095,15561.990513429,15431.852353095,15490.395182286,15490.395182286,205932438.095238,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2018-03-01,3,2018,D,722,1608500,15500.728562095,15561.990513429,15431.852353095,15490.395182286,15490.395182286,205932438.095238,1.25,23993,16299,33295,7995,4360,3906,3769,-14440,18904
2009-05-01,5,2009,A,1458,349987,10023.06992175,10143.57006835,9889.0700195,10031.32509765,10031.32509765,235301260,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-05-01,5,2009,T,664,435848,10023.06992175,10143.57006835,9889.0700195,10031.32509765,10031.32509765,235301260,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-05-01,5,2009,D,1402,680320,10023.06992175,10143.57006835,9889.0700195,10031.32509765,10031.32509765,235301260,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2010-06-01,6,2010,A,1258,391528,11706.418235091,11779.536399227,11617.668279545,11680.172762773,11680.172762773,198242868.181818,0.5,23586,13545,36850,8906,4270,4460,3539,-1821,10467
